PostedDate,PropertyName,CategoryType,PropertyType,City,State,Furnishing
2020-05-22,The Robertson Condo Bukit Bintang KLCC (Studio FULLY FURNISH) 538sf,Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Bintang,Kuala Lumpur,Fully Furnished,538.0,,6250.0,1,1,1,2500.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/The+Robertson+Condo+Bukit+Bintang+KLCC+Studio+FULLY+FURNISH+538sf-82993893.htm
2020-05-22,fully furnished oug parklane,Rooms,Condo / Services residence / Penthouse / Townhouse,OUG,Kuala Lumpur,Fully Furnished,1000.0,5,1000.0,,,1,600.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/fully+furnished+oug+parklane-80816231.htm
2020-05-22,suria jelatek !! only master room left !!,Rooms,Condo / Services residence / Penthouse / Townhouse,Setiawangsa,Kuala Lumpur,Fully Furnished,1000.0,5,1500.0,,,1,950.0,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/suria+jelatek+only+master+room+left+-80816122.htm
2020-05-22,Fully Furnished _ Petalz Residence _ 3 Mins Walking To Petaling KTM!!,Apartments,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Fully Furnished,1100.0,,,3,2,2,2150.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Fully+Furnished+Petalz+Residence+3+Mins+Walking+To+Petaling+KTM+-82827003.htm
2020-05-22,Klcc view indah mas for rent,Apartments,Apartment/ Flat,Cheras,Kuala Lumpur,Not Furnished,720.0,,,3,1,1,1000.0,"Mini Market, Playground, 24 Hour Security","Cooking Allowed, Near KTM/LRT",https://www.mudah.my/Klcc+view+indah+mas+for+rent-82884050.htm
2020-05-22,Skyluxe 3 Rooms For Rent,Apartments,Condo / Services residence / Penthouse / Townhouse,Bukit Jalil,Kuala Lumpur,Partially Furnished,1087.0,,,3,2,2,3000.0,"Swimming Pool, Gymnasium, Squash Court, Playground, Jogging Track, 24 Hour Security, Balcony/Patio","Air-Cond, Cooking Allowed, Near KTM/LRT",https://www.mudah.my/Skyluxe+3+Rooms+For+Rent-82935420.htm
2020-05-22,"Room rent, Single, OUG Parklane, Old Klang Road, LRT, Midvalley",Rooms,Condo / Services residence / Penthouse / Townhouse,Old Klang Road,Kuala Lumpur,Fully Furnished,450.0,5,1020.0,,,2,510.0,"Swimming Pool, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",https://www.mudah.my/Room+rent+Single+OUG+Parklane+Old+Klang+Road+LRT+Midvalley-82993814.htm
2020-05-22,(Cheapest Cabinet Unit) Maxim Citylights near Sky Awani One Maxim,Apartments,Condo / Services residence / Penthouse / Townhouse,Sentul,Kuala Lumpur,Partially Furnished,850.0,,1100.0,2,2,1,1100.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/+Cheapest+Cabinet+Unit+Maxim+Citylights+near+Sky+Awani+One+Maxim-82993675.htm
2020-05-22,Bayu tasik bandar sri permaisuri cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Cheras,Kuala Lumpur,Partially Furnished,920.0,,,3,2,,1200.0,"Swimming Pool, Gymnasium, Tennis Court, Mini Market, Playground, 24 Hour Security",,https://www.mudah.my/Bayu+tasik+bandar+sri+permaisuri+cheras-82993659.htm
2020-05-22,"28 boulevard, cheras sunway velocity [FULLY FURNISHED+BELOW MARKET]",Apartments,Condo / Services residence / Penthouse / Townhouse,Cheras,Kuala Lumpur,Fully Furnished,450.0,,,1,1,2,1500.0,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",https://www.mudah.my/28+boulevard+cheras+sunway+velocity+FULLY+FURNISHED+BELOW+MARKET+-82993759.htm
